,URL,State/Postal,Prices,Address,beds,links
27,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",160000.0," 2695 Woodland Village Dr, Columbus, OH 43231 "," 3 3 1,774 - House for sale</li></ul>","https://www.zillow.com/homedetails/2695-Woodland-Village-Dr-Columbus-OH-43231/34116281_zpid/""tabindex=""0""><addressclass=""list-card-addr"">2695WoodlandVillageDr,Columbus,OH43231</address></a>"
28,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",240000.0," 5823 Whitehaven Dr, Galloway, OH 43119 "," 4 3 2,121 - House for sale</li></ul>","https://www.zillow.com/homedetails/5823-Whitehaven-Dr-Galloway-OH-43119/34099771_zpid/""tabindex=""0""><addressclass=""list-card-addr"">5823WhitehavenDr,Galloway,OH43119</address></a>"
29,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",419900.0," 1409 Virginia Ave, Columbus, OH 43212 "," 4 3 2,180 - House for sale</li></ul>","https://www.zillow.com/homedetails/1409-Virginia-Ave-Columbus-OH-43212/33864277_zpid/""tabindex=""0""><addressclass=""list-card-addr"">1409VirginiaAve,Columbus,OH43212</address></a>"
30,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",399900.0," 1195 Blacksmith Dr, Columbus, OH 43081 "," 2 2 1,088 - House for sale</li></ul>","https://www.zillow.com/homedetails/1195-Blacksmith-Dr-Columbus-OH-43081/71232983_zpid/""tabindex=""0""><addressclass=""list-card-addr"">1195BlacksmithDr,Columbus,OH43081</address></a>"
31,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",139000.0," 1593 Kenmore Rd, Columbus, OH 43211 ", 4 1 936 - House for sale</li></ul>,"https://www.zillow.com/homedetails/1593-Kenmore-Rd-Columbus-OH-43211/33860678_zpid/""tabindex=""0""><addressclass=""list-card-addr"">1593KenmoreRd,Columbus,OH43211</address></a>"
32,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",179900.0," 3660 Hollowwood Ave, Columbus, OH 43223 "," 1<abbr class=""list-card-label""> <!-- -->bd</abbr></li><li class="""">1 570 - Condo for sale</li></ul>","https://www.zillow.com/homedetails/3660-Hollowwood-Ave-Columbus-OH-43223/34092141_zpid/""tabindex=""0""><addressclass=""list-card-addr"">3660HollowwoodAve,Columbus,OH43223</address></a>"
33,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",250000.0," 393 Derrer Rd, Columbus, OH 43204 "," 4 3 2,448 - House for sale</li></ul>","https://www.zillow.com/homedetails/393-Derrer-Rd-Columbus-OH-43204/33900282_zpid/""tabindex=""0""><addressclass=""list-card-addr"">393DerrerRd,Columbus,OH43204</address></a>"
34,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",279900.0," 15 W Lincoln St, Columbus, OH 43215 "," 3 2 1,564 - House for sale</li></ul>","https://www.zillow.com/homedetails/15-W-Lincoln-St-Columbus-OH-43215/71975061_zpid/""tabindex=""0""><addressclass=""list-card-addr"">15WLincolnSt,Columbus,OH43215</address></a>"
35,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",170000.0," 6121 Georges Park Dr #7B, Canal Winchester, OH 43110 "," 4 2 1,472 - House for sale</li></ul>","https://www.zillow.com/homedetails/6121-Georges-Park-Dr-7B-Canal-Winchester-OH-43110/2062648354_zpid/""tabindex=""0""><addressclass=""list-card-addr"">6121GeorgesParkDr#7B,CanalWinchester,OH43110</address></a>"
36,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",779900.0," 818 Oak St, Columbus, OH 43205 "," 3 3 1,774 - House for sale</li></ul>","https://www.zillow.com/homedetails/818-Oak-St-Columbus-OH-43205/33834890_zpid/""tabindex=""0""><addressclass=""list-card-addr"">818OakSt,Columbus,OH43205</address></a>"
